,yyyy,mm,tmax,tmin,af_days,rain_mm,sun_hours
0,1853.0,1.0,8.4,2.7,4.0,62.8,97.58
1,1853.0,2.0,3.2,-1.8,19.0,29.3,84.47999999999999
2,1853.0,3.0,7.7,-0.6,20.0,25.9,82.6
3,1853.0,4.0,12.6,4.5,0.0,60.1,97.58
4,1853.0,5.0,16.8,6.1,0.0,59.5,129.1
5,1853.0,6.0,20.1,10.7,0.0,82.0,135.61999999999998
6,1853.0,7.0,21.2,12.2,0.0,86.2,137.14000000000001
7,1853.0,8.0,20.2,10.8,0.0,72.3,122.23999999999998
8,1853.0,9.0,17.3,8.4,0.0,51.3,161.68
9,1853.0,10.0,13.9,7.4,0.0,102.3,106.7
10,1853.0,11.0,8.7,2.3,10.0,49.6,132.14000000000001
11,1853.0,12.0,3.7,-1.3,19.0,10.7,98.22
12,1854.0,1.0,6.7,1.5,11.0,54.5,117.32000000000001
13,1854.0,2.0,8.0,0.6,12.0,22.6,82.6
14,1854.0,3.0,11.2,2.2,8.0,10.6,142.88
15,1854.0,4.0,15.0,3.5,2.0,19.9,196.68
16,1854.0,5.0,16.2,5.7,1.0,82.1,113.85999999999999
17,1854.0,6.0,18.6,9.7,0.0,45.2,189.45999999999998
18,1854.0,7.0,21.7,11.6,0.0,37.2,198.38000000000002
19,1854.0,8.0,20.9,10.7,0.0,45.4,189.46
20,1854.0,9.0,20.2,8.4,0.0,11.4,207.56000000000003
21,1854.0,10.0,13.9,5.6,2.0,57.7,129.1
22,1854.0,11.0,8.2,2.0,5.0,32.4,163.82
23,1854.0,12.0,8.3,2.1,8.0,30.7,163.82
24,1855.0,1.0,4.4,-0.4,18.0,6.9,101.03999999999999
25,1855.0,2.0,1.7,-4.5,20.0,33.7,84.47999999999999
26,1855.0,3.0,7.7,0.1,15.0,56.0,117.31999999999998
27,1855.0,4.0,13.0,2.7,9.0,10.6,142.88000000000002
28,1855.0,5.0,15.0,4.9,3.0,45.1,168.35999999999999
29,1855.0,6.0,19.4,9.3,0.0,60.0,129.1
30,1855.0,7.0,22.8,13.4,0.0,129.3,98.7
31,1855.0,8.0,21.7,12.2,0.0,42.6,197.82000000000002
32,1855.0,9.0,19.0,10.4,0.0,59.7,129.1
33,1855.0,10.0,14.0,8.2,0.0,143.1,78.02
34,1855.0,11.0,7.9,3.4,4.0,25.2,177.14000000000001
35,1855.0,12.0,5.7,-0.1,13.0,28.1,119.92
36,1856.0,1.0,6.8,2.0,10.0,74.7,85.2
37,1856.0,2.0,8.2,3.0,8.0,33.4,149.88000000000002
38,1856.0,3.0,7.9,0.6,11.0,23.9,119.92
39,1856.0,4.0,12.9,4.1,2.0,64.9,97.58000000000001
40,1856.0,5.0,14.0,5.7,2.0,110.1,81.39999999999999
41,1856.0,6.0,20.2,9.5,0.0,64.8,129.1
42,1856.0,7.0,22.2,11.3,0.0,15.8,207.56
43,1856.0,8.0,22.7,12.5,0.0,81.8,135.61999999999998
44,1856.0,9.0,16.8,8.5,0.0,80.3,113.85999999999999
45,1856.0,10.0,13.9,6.9,1.0,60.3,129.1
46,1856.0,11.0,8.1,2.3,8.0,24.2,148.82000000000002
47,1856.0,12.0,7.3,1.4,12.0,52.0,117.32000000000001
48,1857.0,1.0,5.1,-0.6,17.0,80.7,74.03999999999999
49,1857.0,2.0,7.6,0.4,11.0,8.2,101.03999999999999
50,1857.0,3.0,9.1,1.8,10.0,39.2,120.56000000000002
51,1857.0,4.0,11.9,3.7,3.0,51.3,132.14000000000001
52,1857.0,5.0,16.5,6.3,4.0,30.3,198.38000000000002
53,1857.0,6.0,22.0,10.6,0.0,77.0,133.90000000000003
54,1857.0,7.0,22.0,12.7,0.0,80.5,135.61999999999998
55,1857.0,8.0,22.8,13.2,0.0,93.5,137.14000000000001
56,1857.0,9.0,19.0,11.2,0.0,99.0,106.7
57,1857.0,10.0,14.6,7.8,0.0,116.3,97.85999999999999
58,1857.0,11.0,10.2,4.5,2.0,42.6,164.16
59,1857.0,12.0,9.6,4.5,3.0,16.8,188.24
60,1858.0,1.0,6.4,-0.1,20.0,17.3,91.7
61,1858.0,2.0,4.7,-1.2,18.0,45.0,86.78
62,1858.0,3.0,9.4,1.1,12.0,20.4,108.83999999999999
63,1858.0,4.0,13.1,4.0,2.0,90.1,122.51999999999998
64,1858.0,5.0,15.9,6.2,0.0,59.5,129.1
65,1858.0,6.0,23.6,11.9,0.0,40.4,210.94
66,1858.0,7.0,20.8,10.6,0.0,58.3,132.06
67,1858.0,8.0,21.4,11.3,0.0,36.4,198.38000000000002
68,1858.0,9.0,19.5,11.2,0.0,63.4,129.1
69,1858.0,10.0,13.4,6.9,0.0,50.4,161.68
70,1858.0,11.0,7.4,0.8,12.0,17.9,100.4
71,1858.0,12.0,7.2,2.4,2.0,54.5,136.2
72,1859.0,1.0,7.5,1.8,9.0,20.8,108.83999999999999
73,1859.0,2.0,9.4,2.7,5.0,43.1,133.86
74,1859.0,3.0,11.2,4.7,4.0,38.2,165.7
75,1859.0,4.0,12.3,3.5,8.0,63.9,83.78
76,1859.0,5.0,16.6,6.7,0.0,47.3,161.68
77,1859.0,6.0,20.7,11.1,0.0,57.4,132.06
78,1859.0,7.0,25.1,13.7,0.0,71.2,130.72
79,1859.0,8.0,21.8,12.5,0.0,97.2,137.14000000000001
80,1859.0,9.0,17.4,9.4,0.0,89.8,137.14000000000001
81,1859.0,10.0,13.7,6.6,6.0,76.3,90.0
82,1859.0,11.0,8.5,1.5,8.0,52.8,132.14000000000001
83,1859.0,12.0,5.0,-1.1,14.0,46.6,86.78
84,1860.0,1.0,6.8,0.8,12.0,82.8,67.66
85,1860.0,2.0,5.2,-1.6,20.0,32.6,84.47999999999999
86,1860.0,3.0,8.4,1.9,8.0,48.4,112.58
87,1860.0,4.0,10.6,1.7,5.0,14.8,151.24
88,1860.0,5.0,17.0,7.7,0.0,70.9,115.35999999999999
89,1860.0,6.0,17.0,9.5,0.0,129.8,76.02000000000001
90,1860.0,7.0,19.3,10.3,0.0,60.8,129.1
91,1860.0,8.0,17.9,10.9,0.0,96.7,114.8
92,1860.0,9.0,15.6,7.0,0.0,64.0,97.58
93,1860.0,10.0,13.4,7.3,1.0,39.9,185.82
94,1860.0,11.0,7.4,2.1,2.0,82.1,67.66
95,1860.0,12.0,4.4,3.5799999999999996,6.0,66.6,75.34
96,1861.0,1.0,3.8,-0.7,16.0,16.8,91.69999999999999
97,1861.0,2.0,7.9,3.1,4.0,48.0,132.14000000000001
98,1861.0,3.0,10.1,3.4,1.0,43.1,155.85999999999999
99,1861.0,4.0,11.8,3.0,5.0,17.7,165.3
100,1861.0,5.0,16.1,6.5,1.0,34.9,198.38000000000002
101,1861.0,6.0,20.0,11.2,0.0,79.9,133.9
102,1861.0,7.0,19.7,12.0,0.0,130.8,76.02
103,1861.0,8.0,21.6,12.7,0.0,15.1,207.56000000000003
104,1861.0,9.0,17.9,9.9,0.0,49.6,161.68
105,1861.0,10.0,16.2,9.5,0.0,40.8,179.01999999999998
106,1861.0,11.0,8.4,1.6,10.0,78.4,90.0
107,1861.0,12.0,7.0,1.5,12.0,41.9,86.78
108,1862.0,1.0,6.6,2.2,8.0,62.2,83.78
109,1862.0,2.0,7.3,3.4,4.0,7.3,129.28000000000003
110,1862.0,3.0,9.4,3.9,4.0,138.9,78.02000000000001
111,1862.0,4.0,12.9,6.2,4.0,57.6,117.23999999999998
112,1862.0,5.0,17.6,9.2,0.0,95.5,114.8
113,1862.0,6.0,18.1,9.6,0.0,56.8,132.06
114,1862.0,7.0,19.9,10.6,0.0,44.8,189.46
115,1862.0,8.0,20.0,10.5,0.0,44.7,189.46
116,1862.0,9.0,18.2,9.9,0.0,55.1,151.2
117,1862.0,10.0,14.5,7.6,1.0,73.1,101.32
118,1862.0,11.0,6.7,0.4,14.0,25.3,119.92
119,1862.0,12.0,9.2,3.8,0.0,36.0,185.82
120,1863.0,1.0,7.7,2.5,2.0,82.1,90.0
121,1863.0,2.0,9.1,2.7,7.0,17.1,142.14000000000001
122,1863.0,3.0,10.8,1.9,9.0,17.3,142.14000000000001
123,1863.0,4.0,14.2,4.7,2.0,35.5,185.82000000000002
124,1863.0,5.0,16.4,6.0,0.0,23.2,196.68
125,1863.0,6.0,19.3,9.6,0.0,86.6,137.14000000000001
126,1863.0,7.0,21.8,9.5,0.0,17.0,207.56
127,1863.0,8.0,21.2,11.9,0.0,67.1,132.04000000000002
128,1863.0,9.0,15.8,7.6,0.0,70.3,115.11999999999998
129,1863.0,10.0,14.1,7.0,2.0,75.5,101.32000000000001
130,1863.0,11.0,10.3,4.6,6.0,51.1,132.14000000000001
131,1863.0,12.0,9.1,3.3,6.0,27.7,163.82
132,1864.0,1.0,4.8,-0.2,13.0,25.0,82.6
133,1864.0,2.0,5.5,0.0,16.0,36.9,86.78
134,1864.0,3.0,9.6,1.4,8.0,62.7,83.78
135,1864.0,4.0,14.2,4.3,0.0,41.4,164.16
136,1864.0,5.0,18.2,7.9,0.0,54.8,151.2
137,1864.0,6.0,19.8,9.8,0.0,25.6,211.68
138,1864.0,7.0,22.8,10.3,0.0,12.0,207.56000000000003
139,1864.0,8.0,21.0,8.8,0.0,19.8,211.68
140,1864.0,9.0,18.3,9.4,0.0,74.9,122.23999999999998
141,1864.0,10.0,13.6,6.8,0.0,39.8,185.82
142,1864.0,11.0,8.9,2.0,8.0,59.4,92.26
143,1864.0,12.0,5.6,1.3,13.0,9.5,109.96
144,1865.0,1.0,4.7,-0.9,14.0,78.1,74.03999999999999
145,1865.0,2.0,5.0,0.2,13.0,52.9,117.31999999999998
146,1865.0,3.0,6.0,-0.2,13.0,24.9,82.6
147,1865.0,4.0,17.2,5.4,3.0,23.3,196.68
148,1865.0,5.0,18.4,8.1,0.0,55.8,132.06
149,1865.0,6.0,21.9,10.8,0.0,89.1,137.14000000000001
150,1865.0,7.0,22.3,12.5,0.0,71.1,130.71999999999997
151,1865.0,8.0,20.0,10.8,0.0,79.0,133.9
152,1865.0,9.0,22.3,10.9,0.0,4.7,199.24
153,1865.0,10.0,14.6,6.1,0.0,137.7,78.02000000000001
154,1865.0,11.0,10.3,4.0,6.0,65.7,83.78
155,1865.0,12.0,8.4,3.4,4.0,49.8,132.14000000000001
156,1866.0,1.0,8.6,3.4,5.0,73.1,85.2
157,1866.0,2.0,7.9,1.3,11.0,73.2,85.2
158,1866.0,3.0,8.4,1.8,9.0,42.7,86.78
159,1866.0,4.0,13.6,4.7,3.0,52.2,132.14000000000001
160,1866.0,5.0,15.7,4.8,2.0,42.6,170.66
161,1866.0,6.0,21.9,11.1,0.0,81.7,135.61999999999998
162,1866.0,7.0,21.7,11.2,0.0,50.4,151.2
163,1866.0,8.0,19.8,11.3,0.0,75.1,122.24000000000001
164,1866.0,9.0,17.0,10.3,0.0,145.4,78.02000000000001
165,1866.0,10.0,14.2,8.0,0.0,53.4,151.2
166,1866.0,11.0,10.7,3.7,7.0,38.8,165.7
167,1866.0,12.0,9.2,3.3,7.0,51.6,132.14000000000001
168,1867.0,1.0,4.6,-1.1,18.0,65.8,83.56
169,1867.0,2.0,10.1,4.4,1.0,39.3,165.7
170,1867.0,3.0,6.0,0.5,16.0,73.4,85.2
171,1867.0,4.0,14.0,6.6,0.0,66.1,97.58000000000001
172,1867.0,5.0,16.8,6.8,3.0,63.9,97.58
173,1867.0,6.0,20.0,9.6,0.0,49.1,161.68
174,1867.0,7.0,20.3,10.5,0.0,99.7,106.7
175,1867.0,8.0,21.5,11.8,0.0,60.8,129.1
176,1867.0,9.0,18.4,9.6,0.0,41.6,185.26
177,1867.0,10.0,13.5,6.3,1.0,72.5,101.32000000000001
178,1867.0,11.0,8.4,1.6,10.0,24.4,149.88000000000002
179,1867.0,12.0,6.2,0.1,18.0,35.7,80.08
180,1868.0,1.0,5.9,1.7,11.0,87.2,67.82000000000001
181,1868.0,2.0,9.8,3.3,5.0,42.3,133.86
182,1868.0,3.0,11.1,2.9,6.0,38.7,165.7
183,1868.0,4.0,14.1,4.6,5.0,39.7,165.7
184,1868.0,5.0,20.4,7.8,0.0,14.9,207.56
185,1868.0,6.0,23.6,9.4,0.0,23.6,211.68
186,1868.0,7.0,25.8,12.7,0.0,47.5,180.92000000000002
187,1868.0,8.0,22.1,12.5,0.0,85.8,137.14000000000001
188,1868.0,9.0,19.7,9.4,0.0,101.3,106.7
189,1868.0,10.0,12.7,5.0,3.0,57.0,129.1
190,1868.0,11.0,7.9,2.6,7.0,30.7,129.45999999999998
191,1868.0,12.0,10.4,5.2,2.0,105.3,95.1
192,1869.0,1.0,8.2,3.0,5.0,96.3,101.44
193,1869.0,2.0,10.5,5.1,1.0,55.2,129.44
194,1869.0,3.0,7.1,1.1,10.0,33.1,120.56000000000002
195,1869.0,4.0,16.0,6.0,0.0,29.8,198.38000000000002
196,1869.0,5.0,15.5,6.5,0.0,75.9,115.35999999999999
197,1869.0,6.0,18.9,8.8,0.0,36.2,198.37999999999997
198,1869.0,7.0,24.1,12.4,0.0,27.0,211.68
199,1869.0,8.0,21.5,10.7,0.0,33.6,192.14
200,1869.0,9.0,19.0,11.3,0.0,112.1,96.02000000000001
201,1869.0,10.0,13.9,6.1,4.0,28.1,177.14000000000001
202,1869.0,11.0,10.0,3.2,8.0,61.3,92.26
203,1869.0,12.0,5.6,1.0,9.0,87.5,74.35999999999999
204,1870.0,1.0,5.9,1.3,10.0,30.2,120.56000000000002
205,1870.0,2.0,5.1,0.8,13.0,48.7,103.16
206,1870.0,3.0,8.3,1.5,13.0,42.6,86.78
207,1870.0,4.0,15.6,3.7,4.0,13.5,207.56000000000003
208,1870.0,5.0,18.0,6.3,2.0,26.3,198.38000000000002
209,1870.0,6.0,22.3,11.2,0.0,17.3,207.56
210,1870.0,7.0,24.9,13.0,0.0,22.6,211.67999999999998
211,1870.0,8.0,21.4,10.6,0.0,59.8,132.06
212,1870.0,9.0,18.3,8.2,0.0,33.8,198.38000000000002
213,1870.0,10.0,14.1,6.7,0.0,74.6,101.32
214,1870.0,11.0,8.3,2.1,10.0,29.6,115.52000000000001
215,1870.0,12.0,3.2,-2.3,19.0,50.9,91.52
216,1871.0,1.0,2.7,-1.2,20.0,28.2,84.47999999999999
217,1871.0,2.0,9.0,3.8,4.0,25.1,176.38000000000002
218,1871.0,3.0,11.9,3.2,4.0,24.3,176.38000000000002
219,1871.0,4.0,13.8,5.3,4.0,67.1,109.14000000000001
220,1871.0,5.0,17.0,5.8,0.0,11.0,207.56
221,1871.0,6.0,17.5,9.0,0.0,81.3,133.9
222,1871.0,7.0,21.1,11.9,0.0,96.3,127.78
223,1871.0,8.0,23.8,12.0,0.0,13.0,207.56000000000003
224,1871.0,9.0,17.9,9.6,0.0,118.8,115.47999999999999
225,1871.0,10.0,14.1,6.0,2.0,30.4,177.14000000000001
226,1871.0,11.0,6.4,0.2,14.0,18.4,74.16
227,1871.0,12.0,6.0,0.9,12.0,27.4,115.52000000000001
228,1872.0,1.0,7.9,2.6,5.0,103.7,106.7
229,1872.0,2.0,10.1,4.7,0.0,38.6,165.7
230,1872.0,3.0,11.2,3.6,8.0,49.1,132.14000000000001
231,1872.0,4.0,13.9,4.5,2.0,48.0,161.68
232,1872.0,5.0,15.2,5.9,1.0,65.2,97.58
233,1872.0,6.0,20.4,10.2,0.0,74.1,122.23999999999998
234,1872.0,7.0,23.7,12.9,0.0,75.9,133.9
235,1872.0,8.0,21.0,11.3,0.0,30.1,192.14000000000001
236,1872.0,9.0,18.3,10.0,0.0,25.5,211.68
237,1872.0,10.0,12.6,5.2,1.0,74.4,90.0
238,1872.0,11.0,10.1,4.6,1.0,80.8,90.0
239,1872.0,12.0,7.9,3.5,6.0,96.9,96.8
240,1873.0,1.0,7.8,3.2,9.0,56.3,98.35999999999999
241,1873.0,2.0,4.2,-0.1,13.0,40.9,86.78
242,1873.0,3.0,9.7,2.2,3.0,60.1,97.92
243,1873.0,4.0,12.8,3.9,3.0,12.2,183.16
244,1873.0,5.0,16.1,5.4,1.0,59.3,129.1
245,1873.0,6.0,20.0,10.3,0.0,70.7,115.11999999999998
246,1873.0,7.0,22.6,11.8,0.0,57.3,132.06
247,1873.0,8.0,21.6,12.6,0.0,66.8,132.04
248,1873.0,9.0,16.9,7.8,0.0,45.9,161.68
249,1873.0,10.0,12.9,4.7,6.0,68.6,84.96
250,1873.0,11.0,9.6,3.8,4.0,43.7,113.34
251,1873.0,12.0,7.3,2.1,10.0,12.3,93.1
252,1874.0,1.0,8.6,3.0,6.0,58.8,97.92
253,1874.0,2.0,7.1,1.0,12.0,43.2,86.78
254,1874.0,3.0,11.0,3.1,8.0,15.8,133.7
255,1874.0,4.0,15.7,5.4,1.0,32.5,198.37999999999997
256,1874.0,5.0,15.7,6.0,1.0,39.7,185.82
257,1874.0,6.0,20.4,9.0,0.0,17.6,207.56
258,1874.0,7.0,25.3,11.8,0.0,12.8,207.56000000000003
259,1874.0,8.0,21.2,11.2,0.0,45.9,161.68
260,1874.0,9.0,18.6,10.4,0.0,85.7,137.14000000000001
261,1874.0,10.0,14.7,7.8,0.0,80.0,113.85999999999999
262,1874.0,11.0,8.7,2.5,9.0,64.6,83.78
263,1874.0,12.0,3.5,-2.3,22.0,46.8,91.02000000000001
264,1875.0,1.0,9.3,4.9,2.0,90.4,114.8
265,1875.0,2.0,4.5,-0.4,20.0,37.3,86.78
266,1875.0,3.0,8.6,2.4,9.0,28.5,149.87999999999997
267,1875.0,4.0,13.4,3.5,3.0,37.6,165.7
268,1875.0,5.0,18.3,7.8,0.0,45.1,161.68
269,1875.0,6.0,20.6,10.5,0.0,75.8,122.24000000000001
270,1875.0,7.0,19.9,11.1,0.0,119.2,115.47999999999999
271,1875.0,8.0,21.9,12.8,0.0,45.9,180.92000000000002
272,1875.0,9.0,20.1,11.4,0.0,51.9,151.2
273,1875.0,10.0,12.6,6.4,0.0,192.9,84.84
274,1875.0,11.0,8.4,3.6,5.0,97.2,96.8
275,1875.0,12.0,6.2,2.4,9.0,22.5,127.26000000000002
276,1876.0,1.0,5.5,0.6,14.0,43.9,86.78
277,1876.0,2.0,8.1,3.0,5.0,72.8,85.2
278,1876.0,3.0,8.6,1.9,8.0,87.4,70.6
279,1876.0,4.0,13.0,4.8,2.0,73.3,115.35999999999999
280,1876.0,5.0,15.4,4.7,1.0,20.4,196.68
281,1876.0,6.0,20.8,10.0,0.0,52.8,151.2
282,1876.0,7.0,24.5,13.1,0.0,21.8,211.67999999999998
283,1876.0,8.0,23.8,11.9,0.0,68.3,140.8
284,1876.0,9.0,17.4,9.8,0.0,148.6,78.02000000000001
285,1876.0,10.0,14.8,8.8,0.0,25.9,192.14000000000001
286,1876.0,11.0,9.7,4.1,5.0,83.2,95.44000000000001
287,1876.0,12.0,8.8,4.9,4.0,130.2,76.02000000000001
288,1877.0,1.0,9.3,3.2,3.0,118.5,98.69999999999999
289,1877.0,2.0,9.4,4.0,3.0,39.9,136.16
290,1877.0,3.0,9.0,2.2,9.0,50.5,117.32000000000001
291,1877.0,4.0,12.1,4.3,0.0,55.0,129.44
292,1877.0,5.0,14.5,5.5,4.0,58.4,129.44
293,1877.0,6.0,22.2,10.5,0.0,25.5,211.68
294,1877.0,7.0,21.1,11.1,0.0,85.4,135.62
295,1877.0,8.0,20.5,11.9,0.0,87.3,137.14000000000001
296,1877.0,9.0,15.9,7.6,0.0,63.5,129.1
297,1877.0,10.0,13.7,5.2,2.0,43.1,170.66
298,1877.0,11.0,10.8,4.3,0.0,98.2,106.7
299,1877.0,12.0,7.8,2.3,7.0,44.6,108.38
300,1878.0,1.0,7.5,2.6,8.0,44.3,98.41999999999999
301,1878.0,2.0,8.8,4.2,4.0,34.2,163.82
302,1878.0,3.0,9.5,2.2,9.0,19.5,122.02000000000001
303,1878.0,4.0,14.1,5.5,3.0,58.4,129.44
304,1878.0,5.0,17.7,8.4,0.0,126.7,98.7
305,1878.0,6.0,21.1,11.1,0.0,49.0,161.68
306,1878.0,7.0,22.2,12.6,0.0,29.1,211.67999999999998
307,1878.0,8.0,21.7,13.1,0.0,130.7,91.22
308,1878.0,9.0,18.1,9.4,0.0,34.4,192.14000000000001
309,1878.0,10.0,14.1,7.4,0.0,54.1,129.44
310,1878.0,11.0,6.6,2.6,5.0,58.1,97.91999999999999
311,1878.0,12.0,3.1,-2.0,20.0,38.6,80.08
312,1879.0,1.0,1.6,-2.8,27.0,76.5,65.11999999999999
313,1879.0,2.0,6.0,1.1,9.0,84.6,67.66
314,1879.0,3.0,8.6,1.1,10.0,22.3,122.02000000000001
315,1879.0,4.0,9.5,2.4,7.0,62.1,101.3
316,1879.0,5.0,12.9,5.2,3.0,57.6,129.44
317,1879.0,6.0,17.0,10.2,0.0,110.7,96.02000000000001
318,1879.0,7.0,17.5,11.4,0.0,86.8,137.14000000000001
319,1879.0,8.0,18.7,11.8,0.0,128.7,91.22
320,1879.0,9.0,16.6,9.5,0.0,73.6,122.23999999999998
321,1879.0,10.0,12.2,6.0,0.0,18.6,188.24
322,1879.0,11.0,6.7,0.9,13.0,17.4,74.16
